Kebele_ID,Kebele_Name,W_NAME,Z_NAME,T_NAME,treated,treat_share,area_km2,Year,NDVI,RAIN_JJAS,post,treat_post
ecba1d05-116b-4e2d-ba3f-5d4c516ba924,Amibara,Amibara,Zone  03,,1,1.0,15.00654655901331,2018.0,,208.6931532954948,0,0.0
d37ccaf0-a552-4cfd-a6b8-6f993befac3c,Amibara,Amibara,Zone  03,,1,0.8320112771549802,80.13281333673585,2018.0,,221.04658656079903,0,0.0
1021bd68-97ce-47dd-9b32-98ab9a912b06,Amibara,Amibara,Zone  03,,1,1.0,1.0560629079657056,2018.0,,205.87558842123187,0,0.0
e408d40e-19e4-4887-81ef-56403947d7f5,Amibara,Amibara,Zone  03,,1,1.0,1.439481062409131,2018.0,,206.4327737263457,0,0.0
2a879845-b5d4-47d5-8d00-e193da0011f8,Amibara,Amibara,Zone  03,,1,1.0,2.16850311106589,2018.0,,196.33335655927655,0,0.0
ebe4424c-a1d9-499e-8b33-126c3825b507,Amibara,Amibara,Zone  03,,1,1.0,11.890370391218037,2018.0,,216.5084632061072,0,0.0
64db08e1-9609-43e3-8ebd-5b2759de130c,Amibara,Amibara,Zone  03,,1,1.0,41.23511454607812,2018.0,,204.4448765332261,0,0.0
bb122ab0-6988-4eaa-8dd1-dd5f4bd2ff44,Amibara,Amibara,Zone  03,,1,1.0,17.849051917432206,2018.0,,229.7035291366161,0,0.0
ad63ef57-d27d-4257-b79b-27a7d34657ef,Amibara,Amibara,Zone  03,,1,0.0558386466572094,94.53449797299676,2018.0,,186.39055881037447,0,0.0
25696899-73ac-4515-878f-cc35a93a6182,Amibara,Amibara,Zone  03,,1,0.6176749535834155,46.59074922604579,2018.0,,188.3514919910772,0,0.0
4df3a267-b379-4bb3-a6ca-ec46fbbbad8f,Amibara,Amibara,Zone  03,,1,1.0,9.5566104753861,2018.0,,199.27117816170733,0,0.0
917fc369-ba12-4666-8cee-3148d15f2748,Amibara,Amibara,Zone  03,,1,1.0,22.380162679446027,2018.0,,222.10304485688383,0,0.0
c503b847-64c1-4ee2-b687-2e4bc13ed8ef,Amibara,Amibara,Zone  03,,1,0.32522409504719,242.68490611403809,2018.0,,223.9327043070205,0,0.0
a6a60679-f49b-462e-ac83-c50cb97908cd,Amibara,Amibara,Zone  03,,1,0.2015338853025715,131.58657648473576,2018.0,,234.66824997237293,0,0.0
471ba9a9-3cd2-4f2e-9764-7534e43702cc,Amibara,Amibara,Zone  03,,1,0.8840355751180154,66.52615231276683,2018.0,,193.1720754835352,0,0.0
5a1ec490-655e-4aca-a2bf-e0023c7c6777,Awash Fentale,Awash Fentale,Zone  03,,1,0.3914937421264109,117.44556286580128,2018.0,,227.44854666202775,0,0.0
86b8035f-c7bf-44e2-b69f-ef7657e3c2db,Awash Fentale,Awash Fentale,Zone  03,,1,0.6021629024986477,160.99621264140004,2018.0,,250.93015357874532,0,0.0
8cfc9150-fd86-405e-babf-6b7143e6304b,Awash Fentale,Awash Fentale,Zone  03,,1,0.2051512145165486,131.45887248267485,2018.0,,219.7942325506159,0,0.0
