OBJECTID,R_NAME,R_CODE,Z_NAME,Z_CODE,W_NAME,W_CODE,RK_NAME,RK_CODE,COUNT,T_NAME,T_CODE,KK_CODE,UK_NAME,UK_CODE,UK_ID,KK_NAME,GlobalID,Shape__Area,Shape__Length
28,Tigray,1,Eastern Tigray,103,Saesi Tsadamba,10303,EDEGA HAMUS TOWN,1030301,1, ,0,0, , , , ,830be90f-f5b2-46f4-8d1a-5dac4bd00aaf,3050385.97705078,7961.77084448603
29,Tigray,1,Eastern Tigray,103,Saesi Tsadamba,10303,FIREWEYINI TOWN,1030302,1, ,0,0, , , , ,fe899829-22ed-47f4-b04b-f8d694530ccc,3315718.66894531,9502.75677760087
30,Tigray,1,Eastern Tigray,103,Ganta Afeshum,10304,Bazet Town,1030401,1, ,0,0, , , , ,68ca162a-7bf5-4008-8c0d-c81451f2ae61,957460.164550781,3934.60622165681
31,Tigray,1,Eastern Tigray,103,Hawzen,10305,Hawzen Town,1030501,1, ,0,0, , , , ,95a2e12a-93e4-4df6-8217-eff23456b164,5881904.63818359,10593.4935254125
32,Tigray,1,Eastern Tigray,103,Atsbi Wonberta,10307,Atsbi Endasilasie Town,1030701,1, ,0,0, , , , ,65a89ffd-49eb-4a53-816a-b81f850995bf,1743162.66992188,7118.90914927135
33,Tigray,1,Eastern Tigray,103,Atsbi Wonberta,10307,Hayka Mesahil Town,1030702,1, ,0,0, , , , ,abf4c659-eb3c-4460-a6f4-c5085fca3a9b,1843197.59912109,5312.11474183755
34,Tigray,1,Eastern Tigray,103,Adi Girat Town,10308,Adi Girat Town,1030801,1, ,0,0, , , , ,5b80605a-32d1-4885-bfda-56ea7c7ddf9c,15874191.1479492,16072.1379893666
35,Tigray,1,Eastern Tigray,103,Wekero Town,10309,Wekero Town,1030901,1, ,0,0, , , , ,19bc1ca2-a774-4249-af4f-7cc8e6d8f3f2,8567879.31933594,13245.8524600701
36,Tigray,1,South Tigray,104,Seharti Samre,10401,Gijet Town,1040101,1, ,0,0, , , , ,50dfdd2e-159b-4da3-9340-05b08a694de2,20175458.8955078,21571.1913479541
37,Tigray,1,South Tigray,104,Seharti Samre,10401,Samira Town,1040102,1, ,0,0, , , , ,b5b1273c-9446-458c-83c6-28181eb132a9,11895764.2807617,24092.2315804309
