Kebele_ID,Kebele_Name,W_NAME,Z_NAME,T_NAME,treated,treat_share,area_km2,elevation,slope
b20313f3-a3e7-456d-a84e-b328e03e9df2,Argoba Liyu,Argoba Liyu,Zone  03,,1,0.1920210906422217,83.46883487186055,1326.8474728774268,11.986885425465779
837067f7-ad34-43bc-bc8c-61ae45a6a613,Argoba Liyu,Argoba Liyu,Zone  03,,1,1.0,42.67666131231336,1361.0537544359747,11.904997933664495
261ac2cf-65e1-48a7-a2b6-293c62ef5034,Ankober,Ankober,North Shewa,,1,0.09030291190937112,36.88158516200021,1752.8508715286682,17.2986806628805
75ace84a-d9e0-4cd2-9a93-a805b434d8fd,Ankober,Ankober,North Shewa,,1,0.19773217343959165,70.04991105223625,1609.139055082096,17.13773186488522
ff6a25ac-5a12-45c2-91fb-8592d3898f5a,Berehet,Berehet,North Shewa,,1,0.0787821495836029,180.30629684847176,1364.3782263281212,15.278983468206059
e9ecc41d-21b9-4a0b-9db2-d1a383cfee9e,Amibara,Amibara,Zone  03,,0,0.0,0.8718883128675117,826.5126113746173,1.2848680675527873
c3475b06-b760-450e-a62c-d831647424a6,Amibara,Amibara,Zone  03,,0,0.0,141.3972227573678,785.8060975160734,4.6192365110162505
9b98f60c-657b-4504-8e27-f65f9413a324,Amibara,Amibara,Zone  03,,0,0.0,159.65778448014112,796.7069819854094,2.5823171018145437
1c9323ed-13e1-41b7-9cac-8b3778440036,Amibara,Amibara,Zone  03,,0,0.0,216.14173974082937,930.6540805030094,2.8218228759994712
ea87d08f-f62b-40d7-bba9-98fd5df84243,Awash Fentale,Awash Fentale,Zone  03,,0,0.0,0.6766357537568626,811.4309458533245,2.62728583465221
e919c5b3-561b-463e-9ceb-d04bf6f83bb3,Awash Fentale,Awash Fentale,Zone  03,,0,0.0,11.793488898488905,896.6179707522986,5.57878384747344
41e3f0dd-fe03-489a-b030-39de54d69468,Gewane,Gewane,Zone  03,,0,0.0,26.559106327244574,629.2698606991872,1.8970997374498881
8347fb5e-530e-468d-a52a-91a897df5c48,Gewane,Gewane,Zone  03,,0,0.0,157.53458232642393,642.1549824351123,3.8272465441557624
d2d211d4-560e-416a-a7db-5bba5000be3e,Gewane,Gewane,Zone  03,,0,0.0,139.13819296843542,572.1541706439343,1.3378234250610377
935e1cba-ab52-46aa-a049-61c424aa36d6,Gewane,Gewane,Zone  03,,0,0.0,34.770302305648116,569.9549035768723,1.056017793885829
4535a453-dbdc-4531-aa72-f276e97d33bf,Gewane,Gewane,Zone  03,,0,0.0,22.80183990244799,573.5159671702405,1.014597323302724
81ff3f32-a244-4391-b383-fc0a3194ff12,Gewane,Gewane,Zone  03,,0,0.0,107.33235875323952,797.3705150067785,7.951177575263159
e976160f-5ee1-4376-93b9-b5fbe2a70736,Gewane,Gewane,Zone  03,,0,0.0,244.56883065166178,657.318545162357,3.661343056044115
efc88cc9-f199-44b8-b887-169efd6013c6,Gewane,Gewane,Zone  03,,0,0.0,179.8427432797167,646.4607746277653,2.7990106017099627
bfc3138f-64c4-44e8-a7e4-bdefc0f6b653,Gewane,Gewane,Zone  03,,0,0.0,29.846972400645956,664.2413907964508,4.904684719314625
31aed07f-a7b2-4707-b9c7-66946eb19229,Gewane,Gewane,Zone  03,,0,0.0,29.5080332248199,712.5705696801876,5.76954382893222
68d7f0cf-98f5-44f2-9e95-5d789595a964,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,22.112599730061135,584.3585603122999,1.1374396416059536
de3bf5cd-d5dc-4c90-a2e5-1af80cd88efe,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,70.77853980325139,568.2992379053028,1.3962085596895073
6a2bc7cc-797e-4680-9edb-b3835e9e49d6,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,22.093077805778975,571.3389073139103,1.135811318787899
54103f3e-f9a9-4f8b-a0a8-0bd14d7cda01,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,24.125634358441516,567.8697632029213,1.0899735011973108
7d6d95a7-42ff-4f8a-a583-873a1a3cb42f,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,59.589681884230345,576.4739422112974,1.183239176730671
9488c19a-0c6a-4bc3-bbc8-e450c3698bb4,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,58.1988622346325,572.1700663701732,1.314793201604142
d12754a5-a8aa-481b-b605-61eeba5b65ff,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,20.790865740849686,567.5612958340516,1.529706897104696
10d597af-54d2-4bfa-92fb-fdb4b6aa0816,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,45.01008639754143,566.7317585342278,1.03103570205818
6880dc6b-ec46-4ef8-afe7-1cb655852302,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,42.66810317500315,583.4908615527728,2.147306686720249
ed77b4d8-dc52-4a83-91b5-3162c13003ef,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,34.08255207217628,610.3984443461966,1.9828721955039368
010e6f0f-98a3-4ad3-9ca0-619e09c7795f,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,116.43767992552061,565.5117133211251,1.062703862749415
53099cbe-b82c-4a4d-9032-433ac1e97482,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,63.67151207995937,588.0250305582778,1.5810263264513253
678331f2-7bc7-4cb2-8c48-5bca174715ac,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,34.96658818913313,568.6581111431939,1.052881092863093
7933f474-74ef-4417-ab0a-7a1d13e1f7b0,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,18.286623834723834,571.3994997218333,0.9423355055659317
021d228b-79f9-492e-8c21-75eebc312861,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,65.61568937511225,572.5713076749146,1.6629441083529382
ae486aee-bed5-44b9-93bf-d23734f82b31,Bure Modayitu,Bure Modayitu,Zone  03,,0,0.0,6.637628362580519,572.2552918425772,1.0231767068005666
532a9836-4756-4e3b-a2c8-2bd6a7ccb7c1,Argoba Liyu,Argoba Liyu,Zone  03,,0,0.0,20.682033244457312,1226.8087100371888,11.393746301861215
8772edfa-bc83-44e6-b827-98c428e724c6,Argoba Liyu,Argoba Liyu,Zone  03,,0,0.0,5.568733660325422,1718.810460685833,15.258084210639709
19b4d164-9c0c-49f5-826f-9fd559e8553b,Argoba Liyu,Argoba Liyu,Zone  03,,0,0.0,16.119642273540354,1513.9364607891255,16.709542615794142
fc660e50-4359-499e-8175-c5b4dc92be7a,Argoba Liyu,Argoba Liyu,Zone  03,,0,0.0,7.57569084034407,1563.1536538549665,18.46980903605122
9b44cc55-4332-4367-be9f-c5c487778243,Argoba Liyu,Argoba Liyu,Zone  03,,0,0.0,23.516979795134336,1375.9746439092244,13.25301854284047
5a85b634-f13a-45d0-a9fc-ba5a61eb48dc,Argoba Liyu,Argoba Liyu,Zone  03,,0,0.0,16.143709872030783,1589.3785985812335,16.49731229657232
e4c8ff33-ba77-4f35-bf19-c0b5565469bc,Telalak,Telalak,Zone 05,,0,0.0,38.38509581963468,1012.4338423493546,5.016399828099862
5bfa3e7b-4fe3-4a6c-9a75-6d9ca6765b37,Telalak,Telalak,Zone 05,,0,0.0,53.22147299046507,912.2048813300132,4.049448117066404
d5619659-67b5-4c61-b177-e94027d6feec,Telalak,Telalak,Zone 05,,0,0.0,144.7385229298833,701.4392586382639,4.269775545068012
4d303c2f-e1ec-40e8-be52-f6cb28a0f994,Telalak,Telalak,Zone 05,,0,0.0,85.43882537627009,652.4002844639244,4.049940766506784
3320f52b-1120-432b-bbcd-152b82a85eb9,Telalak,Telalak,Zone 05,,0,0.0,96.8896343094883,1071.737451454072,5.483443945808298
e0f64b09-18be-43cc-8b0e-75bce9f33c0b,Telalak,Telalak,Zone 05,,0,0.0,74.23002546404736,956.9836007938636,9.126276371591134
8a96d33d-b2bf-4a77-bd31-59cb047b94af,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,4.000384028396027,1068.5110561087888,3.5350469163727323
48384bbd-20db-449c-994c-ab3551f8dfef,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,79.48537869530583,759.8210681554635,5.7377916716734045
52a7ba3d-ec4b-41d8-bd63-11805593a653,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,66.30250902140305,1198.3200600073264,10.46141952187012
c178074d-0d2a-4103-8dc3-e77326c75fe2,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,71.30190055296244,1067.7664085904375,10.711450090103618
434578ae-2a19-4e57-b30e-59847aa17b1c,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,37.12886320332037,975.8186998678891,5.9977037883493605
f4e863f7-1fea-4a31-8664-d99fcc3b5975,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,97.05647976070253,654.7125200939095,2.072170535800272
429fa045-b04f-4271-8083-2de141dfa463,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,194.6447967318413,785.0021040776679,2.8835231204941363
9fe7fa34-e3a3-4834-857b-5d07694ca343,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,161.10725942303455,813.3422171466539,2.3387662530515527
1dd85d3d-db6d-4b0d-b24d-6e86257e8745,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,102.48931020820275,731.3421095320483,1.9008090443481793
8fd0b459-287b-4093-8434-48a6d75b8e06,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,96.91481104649968,1203.623478558883,10.395804475542667
c735c82d-8eef-4ced-a010-fb1df4fa20b2,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,279.05978924829975,951.2896878296692,5.43813577263407
1e889482-fdb9-4c33-8218-125ebc4e9a69,Semurobina Gelalo,Semurobina Gelalo,Zone 05,,0,0.0,123.92448795908759,971.5112982385809,5.084395307666061
