spec,coef,ci_low,ci_high,N
High expo (≥0.1) × post,0.0004885187831285341,-0.01805175094430891,0.01902878851056598,5322
High expo (≥0.2) × post,0.0002740103447664883,-0.019766534916969395,0.02031455560650237,5322
High expo (≥0.3) × post,0.0026419179342088038,-0.018375488120432496,0.023659323988850105,5322
High expo (≥0.4) × post,-0.006092950852208297,-0.026556999674353213,0.01437109796993662,5322
High expo (≥0.5) × post,-0.006092950852208297,-0.026556999674353213,0.01437109796993662,5322
